Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
W kernel support bw3 [uv-pixels],257.83948650180565,3.58287950157935,3.582879827186783,3.3062290259300795,4.44003861412298,4.44003861412298,10.39307624901199,257.83948650180565,3.788984637929831,153.87506062187435,2.785567425279268,2.7855675382707075,2.0214158137589266,2.1434930180032645,5.058641683817413,17.063562601599124,153.87506062187435,1.2873121222810928,75.58836487425492,2.726373816450982,2.7263736624080317,1.785780929134957,3.5336567593393604,3.3692062993822436,13.296138746143699,75.58836487425492,0.6436425174912901,24.144977429954615,6.191003564653187,2.279426867367762,2.0986512970611564,2.490050645827922,2.051643669110903,8.837138017714242,24.144977429954615,0.20901578489978515,13.011987690963144,6.060885943577217,2.233487048930021,2.0561379801774677,2.4394096086859274,2.0100800862558748,6.973241215914135,13.011987690963144,0.11321422670188461,22.728303927718347,5.487636196339615,1.8713538483048133,1.7735219689271136,2.109536678006515,1.7364755603234003,8.631292565257011,22.728303927718347,0.19686802934455488
W kernel support bw4 [uv-pixels],445.32610945220534,6.560950293748319,6.560950293748319,5.842695255920037,12.623953197926392,12.623953197926392,17.545049781755946,445.32610945220534,10.767336770701792,228.92053145856664,4.090597650940362,4.090597816990475,2.9678091532918454,3.1471535419099603,7.432598596954095,25.121346232481667,228.92053145856664,2.7741230716750493,111.91045312272352,4.003608955673504,4.00360872930074,2.621667012180819,5.190150520621243,4.948409473950985,19.564252761142146,111.91045312272352,1.3862460638117227,35.57903467429398,9.098496764991868,3.3468671749140606,3.0812750550028625,3.6563401438894854,3.0122160949845864,12.993765083323694,35.57903467429398,0.4499376360249123,19.145320867297563,8.907039168840209,3.279371081189339,3.0188186242980577,3.581929693401713,2.9511563056536594,10.249666506390357,19.145320867297563,0.24367288335199153,33.48571560994978,8.063647301200222,2.747366901390307,2.603660012268143,3.097267004932581,2.5492437962788896,12.690637277601347,33.48571560994978,0.4237801570386919
W kernel support bw5 [uv-pixels],,,,,,,,,,297.9469804207112,5.269597649750813,5.26959786378798,3.822535476517348,4.053648445184345,9.579003993565657,32.42799701618017,297.9469804207112,4.602401107953138,145.10671498850104,5.15747114650763,5.1574708547212165,3.3765096583050185,6.687093734107502,6.375421112878811,25.243606764902907,145.10671498850104,2.2985504263744887,45.96074309999651,11.728205343069128,4.311023213788156,3.968752546464777,4.709873083736388,3.8797596530629774,16.75599270434986,45.96074309999651,0.7456659361908637,24.70220618658938,11.481169356219842,4.224038209442862,3.88826793754495,4.613969769520304,3.8010762717853313,13.213725633670212,24.70220618658938,0.4037683263417485,43.25065012266939,10.39305125398877,3.538476904272847,3.353307685629235,3.9893608214675402,3.283193251090725,16.36461779679916,43.25065012266939,0.7023034471278886
W kernel support bw6 [uv-pixels],,,,,,,,,,425.684666306095,7.407014186863439,7.4070144880095174,5.371489557688618,5.696522753120068,13.473912169892563,45.73228689258829,425.684666306095,9.09397381662716,206.10175968718326,7.249257096148798,7.249256685625084,4.7442796183282,9.401819214104579,8.963140785570713,35.57533477904927,206.10175968718326,4.536666640298325,64.89299885963469,16.50207574211652,6.058519561852756,5.577123720814429,6.619560508680447,5.4519662649640805,23.59164824803013,64.89299885963469,1.4702310034630404,34.81039978507779,16.15393257315051,5.936171989767809,5.463931948019499,6.484651862883198,5.341311001811591,18.59599383647218,34.81039978507779,0.7958660060011038,61.05304255870578,14.620702404579198,4.972029733088314,4.7116552537975185,5.606107236167222,4.613068779240704,23.03951716390097,61.05304255870578,1.3846834980730496
W kernel support bw7 [uv-pixels],,,,,,,,,,544.9022214669649,9.358372787604484,9.358373168391724,6.785014827415256,7.195862605385101,17.033516289096198,57.93730554900659,544.9022214669649,14.525154584862845,262.60575567135703,9.158898018591804,9.158897499515476,5.992286129308455,11.881156906867096,11.326297894320414,45.04383171980803,262.60575567135703,7.2380628455856675,82.28986305590534,20.866953843594132,7.653463744104473,7.044937029712823,8.362739403979955,6.886736365496468,29.847605492868674,82.28986305590534,2.343322214655387,44.07328988258617,20.426150277336898,7.498800274051479,6.9018609762394485,8.192179235215853,6.746869936068619,23.518597382848593,44.07328988258617,1.2680992060236433,77.40655973521646,18.48508426795778,6.280127036597739,5.951055095725783,7.08157313004298,5.8264621303950435,29.147927643445176,77.40655973521646,2.206893874136743
W kernel support bw8 [uv-pixels],,,,,,,,,,630.5686589971884,10.738406649257838,10.738407086429516,7.784368401811486,8.255942769977745,22.447432824304194,66.59995533985551,630.5686589971884,19.137129746472176,302.9950981036437,10.509397104714965,10.50939650878832,6.874525642631221,13.635075667344823,12.997929808905305,51.75919309263333,302.9950981036437,9.52840746593798,94.65258436525767,23.9573422552634,8.781204304915706,8.082706863525553,9.595399926516818,7.90112333050446,34.280030438295654,94.65258436525767,3.0824946282927543,50.64243528800478,23.450820309599926,8.603669753694193,7.918483307662343,9.39960439465618,7.740586409584129,27.0046278801653,50.64243528800478,1.667723114653727,89.02518203047612,21.220548600020432,7.204881908398209,6.82720545204402,8.124758389914664,6.684213421352452,33.47559086512842,89.02518203047612,2.902954168095747
W kernel support bw9 [uv-pixels],,,,,,,,,,741.0987401986339,12.494819791165728,12.494820300168058,9.055923134921432,9.604827834138911,30.432489368613744,77.65996484509454,741.0987401986339,25.936262324485085,354.87712794446253,12.228185202755867,12.228184508929424,7.9969621700471825,15.867893413094647,15.12588195725446,60.32743002200305,354.87712794446253,12.899639953708286,110.45342913517943,27.894475631794894,10.216256181091193,9.403180868440357,11.164083270094393,9.191821304161067,39.93041110655653,110.45342913517943,4.168932735622993,59.02367479837852,27.304101630259947,10.009594072254774,9.212027786449138,10.936145163817692,9.004963057019308,31.446663685305467,59.02367479837852,2.2548313271641356,103.87203420624726,24.704876619363247,8.381449478857855,7.941889444203571,9.452128588975015,7.775472649121045,38.99217379546583,103.87203420624726,3.9259732449737914
W kernel support bw10 [uv-pixels],,,,,,,,,,848.3242782122347,14.175304073325652,14.17530465112143,10.27215655767294,10.895090096423859,39.22829705160302,88.2763539200322,848.3242782122347,33.42188312681315,404.9871559086001,13.872635948885412,13.87263516130186,9.070460582733578,19.47445403980467,19.47445403980467,68.5464881179642,404.9871559086001,16.604752940710846,125.63702967285093,31.665281900318654,11.58901330905777,10.666244356141277,12.664791034590253,10.426380132522533,45.3455593240978,125.63702967285093,5.361020390945257,67.06292328832127,30.994471957963285,11.354464103779184,10.449311542771147,12.406075266636996,10.214325148665505,35.701892532500345,67.06292328832127,2.8987087827318407,118.13600144022669,28.041377086253757,9.506759174552345,9.007967800790825,10.721793941849832,8.819131228832811,44.278847598065575,118.13600144022669,5.048409306677936
W kernel support bw11 [uv-pixels],,,,,,,,,,952.9151270818414,15.794399217813153,15.7943998619492,12.15747220194383,12.15747220194383,48.780680820484115,98.5352175267356,952.9151270818414,41.54727978628811,453.6779515075712,15.456983059154746,15.4569821811603,10.104377199068585,24.18810613186736,24.18810613186736,76.4839472137297,453.6779515075712,20.619586676665016,140.32371531681747,35.30174619070886,12.911395375007572,11.882879246629361,14.110534174136744,11.615537707938216,50.57083043830258,140.32371531681747,6.6506664409638026,74.82635479855996,34.5532550848209,12.649961325076625,11.641095803208831,13.82214340865086,11.379194748616301,39.80626742377153,74.82635479855996,3.5949317551364106,131.93061952868786,32.96617486525903,10.590612266022505,10.034733076371388,11.944792866572344,9.824288989286918,49.37993270945066,131.93061952868786,6.262633157716523
AW kernel support bw0 [uv-pixels],52.796275818634754,10.028159578324034,10.0281595834251,10.023991118726038,10.043173775494438,10.043173770625609,10.23314560796867,52.796275818634754,10.001390314365764,66.83748079289296,10.074146590711225,10.074146596697867,10.03913848880542,10.04399327680978,10.242119267264219,12.46747424816693,66.83748079289296,10.003058904554988,34.20048150361397,10.071043077524974,10.07104306953378,10.03056506114608,10.118987799787847,10.108241128068398,11.563489641869051,34.20048150361397,10.000765653837538,14.515553109215524,10.360294105914585,10.04973014435938,10.042177287032752,10.059306548215677,10.040314362950681,10.72030384846009,14.515553109215524,10.000080828042584,11.50185999982993,10.345584609704526,10.047752347064105,10.040490668253527,10.056927879952568,10.038701979383685,10.454777315609267,11.50185999982993,10.000023721460483,14.076294815083747,10.28425847242974,10.033556961011922,10.030147819506968,10.042614630490869,10.028904247905386,10.688275541990413,14.076294815083747,10.000071708416435
AW kernel support bw1 [uv-pixels],88.66703309967698,10.079549963639344,10.079549978019406,10.067795069248431,10.121824505176612,10.12182449148438,10.647938620760545,88.66703309967698,10.011130330041592,90.71948540697122,10.13593427068634,10.135934281632064,10.071843087872208,10.08074096288126,10.441126731858963,14.219092063390452,90.71948540697122,10.010328035003269,45.62876493005944,10.130259276683194,10.130259262069027,10.056121965463566,10.217781869387052,10.198191384820857,12.73228468824052,45.62876493005944,10.002585107097666,17.441715840279215,10.65361198495236,10.091251410130385,10.077412981346425,10.108786251881085,10.073998525985386,11.290604265441951,17.441715840279215,10.000272854959556,12.628931965321115,10.627260000437714,10.087628415149986,10.074321686698578,10.104431967650765,10.071042896265707,10.82224436984692,12.628931965321115,10.0000800719805,16.763546131475167,10.517100602707806,10.061609333290498,10.055356619118156,10.078214497337092,10.05307539976689,11.234522615635964,16.763546131475167,10.000242067495345
AW kernel support bw2 [uv-pixels],150.6525426437242,10.22381913319882,10.223819173398908,10.190926163337531,10.34159265055581,10.341592612541254,11.746700260395855,150.6525426437242,10.088908734092886,112.94118897432566,10.208707085694051,10.208707102444786,10.110472660640983,10.124128972545401,10.672402332329856,16.05482157238679,112.94118897432566,10.024482870904109,56.332583575571704,10.200021191382246,10.20002116901137,10.086329794586582,10.333715129416419,10.303838781512605,13.994714966877433,56.332583575571704,10.00612956283549,20.383824904209447,10.991519757916492,10.140252646750962,10.11902193013189,10.167133860590146,10.113781331392905,11.93236094528714,20.383824904209447,10.000646904392243,13.84933096605165,10.952099237550856,10.134695677931981,10.114277364332404,10.160460805887537,10.10924425155743,11.242786923634222,13.84933096605165,10.000189828309235,19.483967492814465,10.786836527180617,10.09475879972215,10.085153989344864,10.120251993059265,10.08164908563168,11.850388529618542,19.483967492814465,10.000573907269967
AW kernel support bw3 [uv-pixels],258.03333272954256,10.62247737219701,10.622477482021885,10.532385787270735,10.941386698901704,10.941386698901704,14.422760967227362,258.03333272954256,10.693755401469975,154.19965720255513,10.380721838137124,10.380721868457295,10.202260626553052,10.227148298437289,11.206687989109676,19.777895961367886,154.19965720255513,10.082518162650233,76.24697308328703,10.364994654462176,10.364994613943232,10.158199325021247,10.605976149927208,10.552324440036754,16.63692596475394,76.24697308328703,10.020692375795324,26.133884806760314,11.761314770787681,10.256499736444106,10.217844061574658,10.30535551151866,10.20829279287202,13.345224177365115,26.133884806760314,10.002184141393183,16.41072282593842,11.693345903592004,10.246387870744408,10.20919700042703,10.29323657743031,10.200020683957579,12.191230169893586,16.41072282593842,10.000640852521787,24.830944392647194,11.40675900610584,10.17359155979663,10.156051406637676,10.220085371260593,10.149647647657552,13.209814962635205,24.830944392647194,10.001937663321943
AW kernel support bw4 [uv-pixels],445.4383725722758,11.960186819487234,11.960186819487234,11.581756682539593,16.10478793227145,16.10478793227145,20.19477090348624,445.4383725722758,14.694745357906237,229.13884376786183,10.804304195175124,10.804304258043052,10.4311021071775,10.483538306142464,12.459675834605166,27.03852874200482,229.13884376786183,10.377656711261931,112.35635059102489,10.771670467942709,10.771670383804597,10.337946504154347,11.266661547535053,11.157363323020716,21.9717997920484,112.35635059102489,10.09562668433384,36.957647494863814,13.519713139803207,10.54521312665217,10.463950304000058,10.64747966646651,10.443823332615512,16.396277963019596,36.957647494863814,10.01011707605419,21.599613679688336,13.39161479266984,10.523985684527558,10.44572955261665,10.622157046874843,10.426376337942122,14.319764784807754,21.599613679688336,10.00296838313913,34.9470048775347,12.846104771414316,10.370536383951169,10.333394672588682,10.468670541183538,10.319818018398697,16.157112195923034,34.9470048775347,10.008975453137037
AW kernel support bw5 [uv-pixels],,,,,,,,,,298.1147482796174,11.303479968145178,11.303480067927703,10.705689023562833,10.790369118669918,13.847646641532517,33.9348639378647,298.1147482796174,11.008273977263114,145.45088083182608,11.251644707644244,11.251644573896689,10.554658567316475,12.029847156499528,11.859426392812635,27.152157971348274,145.45088083182608,10.260766738533059,47.036049008222165,15.412683107402009,10.889670387565474,10.758763719641335,11.053637612338505,10.726254470482013,19.513156882171213,47.036049008222165,10.027762347024156,26.649558917264923,15.22554596020128,10.855528489890911,10.729334907352834,11.013115682405559,10.69804565441415,16.571135903187603,26.649558917264923,10.008148123472035,44.39165164795698,14.422742955763912,10.607583080139998,10.547259001015387,10.766382854230114,10.525177334563427,19.178131182034285,44.39165164795698,10.024631171861023
AW kernel support bw6 [uv-pixels],,,,,,,,,,425.80210794232977,12.444430849355717,12.444431028600018,11.351339131061051,11.508708506032058,16.77934173804142,46.812840807047834,425.80210794232977,13.516669699948297,206.3442156837779,12.351183281210902,12.351183040262985,11.068341750094472,13.725676833391717,13.428994479928912,36.95408562853954,206.3442156837779,10.980953701987623,65.65897730696503,19.29555658172499,11.69211953759251,11.450078995241517,11.992438506328966,11.389641616587696,25.623541266944017,65.65897730696503,10.107501135470821,36.21828175379036,18.998671995113053,11.629193346578425,11.395374163781906,11.918502833107626,11.337089715534297,21.11423658970675,36.21828175379036,10.031620143302284,61.86658230155549,17.7134112695231,11.167859224878967,11.054397099373523,11.46422428005517,11.012738240873853,25.11611735809672,61.86658230155549,10.095412244670142
AW kernel support bw7 [uv-pixels],,,,,,,,,,544.9939733241398,13.695953461945471,13.695953722135387,12.084553206810952,12.319920398914094,19.75197906972629,58.79397396229438,544.9939733241398,17.634628312333724,262.7960861803776,13.560435572464659,13.560435221873625,11.657936912485953,15.52938792887845,15.109104010194882,46.14051122389505,262.7960861803776,12.34461638758563,82.89524450630238,23.139355278630557,12.59267673222503,12.232380706658002,13.035927674656646,12.141957740325548,31.478239367187044,82.89524450630238,10.270888910006642,45.19352698201891,22.74263870249779,12.499280201280175,12.150542577816717,12.927172955518998,12.06317760518457,25.556299083719708,45.19352698201891,10.080083114554055,78.049826969966,21.01662057499969,11.808471348815896,11.636797529920498,12.253516964371768,11.573575979658472,30.815607829596924,78.049826969966,10.24062403233818
